epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,114.614,0.62161,1.15507,0.87306,0.83556,0.95,0.92278,0.79451,0.59109,1.02153,0.88059,0.0004258,0.0004258,0.0004258
60,116.248,0.53548,1.11039,0.85795,0.84403,0.95,0.95278,0.8231,0.59056,1.00068,0.88022,0.0004159,0.0004159,0.0004159
61,117.876,0.54965,1.1129,0.85911,0.8839,0.95,0.97625,0.84176,0.59113,0.977,0.87965,0.000406,0.000406,0.000406
62,119.375,0.58308,1.21201,0.87268,0.92462,0.95,0.97625,0.84122,0.58751,0.95837,0.87518,0.0003961,0.0003961,0.0003961
63,120.916,0.51738,1.08558,0.87536,0.94207,0.95,0.98071,0.84801,0.5933,0.94827,0.8741,0.0003862,0.0003862,0.0003862
64,122.531,0.56372,1.12501,0.85182,0.95077,0.95,0.98667,0.86148,0.57856,0.93559,0.8682,0.0003763,0.0003763,0.0003763
65,124.304,0.54634,1.10302,0.88791,0.95546,0.94958,0.98667,0.8603,0.58082,0.92775,0.86889,0.0003664,0.0003664,0.0003664
66,126.531,0.58634,1.08852,0.85912,0.95623,0.98275,0.995,0.8722,0.57276,0.90101,0.86754,0.0003565,0.0003565,0.0003565
67,128.671,0.55965,1.11417,0.87456,0.95904,0.99057,0.995,0.87575,0.57621,0.88662,0.86759,0.0003466,0.0003466,0.0003466
68,130.169,0.56142,1.04264,0.85401,0.96639,0.99795,0.995,0.87719,0.57371,0.86699,0.86667,0.0003367,0.0003367,0.0003367
69,131.804,0.50902,1.00824,0.85389,0.9641,1,0.995,0.87719,0.57764,0.84724,0.86608,0.0003268,0.0003268,0.0003268
70,133.312,0.58948,1.16096,0.8511,0.96502,0.99785,0.995,0.87378,0.57691,0.82462,0.86568,0.0003169,0.0003169,0.0003169
71,134.78,0.51149,0.99587,0.84374,0.96837,1,0.995,0.87172,0.57747,0.79407,0.86573,0.000307,0.000307,0.000307
72,136.356,0.51342,1.04019,0.86209,0.97479,0.99962,0.995,0.86473,0.57521,0.76956,0.86545,0.0002971,0.0002971,0.0002971
73,138.065,0.56172,1.02618,0.85787,0.97427,0.99323,0.995,0.86718,0.572,0.74446,0.86487,0.0002872,0.0002872,0.0002872
74,140.114,0.54259,0.93186,0.85323,0.97371,0.99179,0.995,0.86924,0.57426,0.72082,0.86559,0.0002773,0.0002773,0.0002773
75,142.295,0.50911,0.92706,0.87762,0.96831,0.99243,0.995,0.87828,0.57683,0.69232,0.86828,0.0002674,0.0002674,0.0002674
76,143.78,0.50208,0.93322,0.85362,0.96458,0.9928,0.995,0.87425,0.58237,0.6673,0.86974,0.0002575,0.0002575,0.0002575
77,145.363,0.54632,0.98427,0.90187,0.95227,0.99238,0.995,0.87383,0.58704,0.63865,0.87166,0.0002476,0.0002476,0.0002476
78,146.95,0.55457,1.01382,0.87487,0.94841,0.99285,0.995,0.87555,0.5865,0.621,0.87097,0.0002377,0.0002377,0.0002377
79,148.524,0.53436,0.97964,0.85363,0.95313,0.99301,0.995,0.86571,0.58911,0.60426,0.87139,0.0002278,0.0002278,0.0002278
80,150.08,0.54436,0.97426,0.89701,0.95089,0.99352,0.995,0.86734,0.59071,0.59651,0.87066,0.0002179,0.0002179,0.0002179
81,151.86,0.50938,0.92847,0.85778,0.95172,0.99473,0.995,0.87007,0.59148,0.59325,0.86877,0.000208,0.000208,0.000208
